name,local_date,yes_rsvp_count,description
Building Control Groups for Observational Studies with Steven Few,7/17/2018,43,"<p>Doors: 6:30pm<br/>Talk Starts: 7:00pm</p> <p>Abstract:<br/>This talk covers examples and methods associated with statistical comparisons of two groups in observational studies, when pre-processing (matching) is needed to improve Causal Modeling (inference). The gold standard for causal relationships is controlled experiments, where groups are randomly chosen to receive or not receive a treatment, but what about when circumstances (or ethics) prevent you from doing random assignment? Real-word examples include exposure to harmful chemicals or behaviors such as smoking.</p> <p>This talks shows how factors such as age, gender, and other demographics, can be used as the covariates in a model to create a score during preprocessing. Then, subjects that cause confounding of results can be removed in order to improve the “causal inference” of interest, and those controls that best match the treatment group can be included. These techniques provide a statistical basis for creating an ""after the fact"" control group that can be used to provide better statistical inference.</p> <p>We cover R coding requirements, data management, modeling responses using the R package - CEM, and SAS code. Other MS or Linux tools could be included in the data work flow. Some of the stories and anecdotes are actually true. Related R Code : <a href=""http://cran.r-project.org/"" class=""linkified"">http://cran.r-project.org/</a> . One R package, CEM, can be used. See a recent paper, ""CEM: Software for Coarsened Exact Matching*, Stefano M. Iacus, Gary King, Giuseppe Porro, Version April 12, 2018.</p> <p>Steve Few, Analytics Consultant and Trainer<br/>Strategic Consulting Partners and AEO Analytics</p> "
RTA Lunch this Friday,8/3/2018,6,<p>Please RSVP by noon on Thursday. Thank you.</p> 
"Back to Our Roots, Let’s Go to a Bar and Talk About Math!",8/21/2018,22,"<p>RTA really started as four friends meeting monthly to talk about software, math, data, and anything related to the analytics field. Let’s that again!</p> "
Driving User Adoption with Paul McHale,9/18/2018,35,"<p>There is no shortage of resources to help bring your data to life through interactive dashboards. Often overlooked, though, is the nuance required to successfully implement a self-service suite of reports. For most audiences, understanding the importance of the data is not enough to drive interaction with a self-service tool. The tool must spark their curiosity; it must allow the audience to draw meaningful comparisons between themselves (or their org) and some benchmark. But, what do you do if no meaningful benchmark exists?</p> <p>Join the Research Triangle Analysts Meetup on September 18th as Paul McHale leads a discussion on driving user adoption (interacting with the data versus observing) and finding meaningful comparisons within your data in the absence of benchmarks.</p> "
Interpretable Machine Learning with Dr Cynthia Rudin ,10/16/2018,116,"<p>Doors open at 6:30pm<br/>Presentation starts at 7:00pm.</p> <p>With widespread use of machine learning, there have been serious societal consequences from using black box models for high-stakes decisions, including flawed models for medical imaging, and poor bail and parole decisions in criminal justice. Explanations for black box models are not reliable, and can be misleading. If we use interpretable models, they come with their own explanations, which are faithful to what the model actually computes. I will present work on optimal decision lists and interpretable neural networks for computer vision. In our applications, we have always been able to achieve interpretable models with the same accuracy as black box models.</p> <p>These new algorithms are able to achieve interpretable models with the same accuracy as black box models.</p> <p>Cynthia Rudin is an associate professor of computer science, electrical and computer engineering, and statistics at Duke University, and directs the Prediction Analysis Lab. Previously, Prof. Rudin held positions at MIT, Columbia, and NYU. She holds an undergraduate degree from the University at Buffalo, and a PhD in applied and computational mathematics from Princeton University. She is the recipient of the 2013 and 2016 INFORMS Innovative Applications in Analytics Awards, an NSF CAREER award, was named as one of the “Top 40 Under 40” by Poets and Quants in 2015, and was named by Businessinsider.com as one of the 12 most impressive professors at MIT in 2015. Work from her lab has won 10 best paper awards in the last 5 years. She is past chair of the INFORMS Data Mining Section, and is currently chair of the Statistical Learning and Data Science section of the American Statistical Association. She also serves on (or has served on) committees for DARPA, the National Institute of Justice, the National Academy of Sciences (for both statistics and criminology/law), and AAAI.</p> "
Let’s Have a Party!,11/27/2018,25,<p>It’s been a great year for RTA! Let’s get together and celebrate.</p> <p>RTA is buying the appetizers. You buy your drinks. Can’t wait to see you!</p> 
Getting Started With Data Science with Aaron Stearns,1/15/2019,89,"<p>Doors open at 6:30pm<br/>Presentation starts at 7:00pm<br/>Special security notes: (1) Fidelity needs a list of attendees for security, so RSVPs will close on Monday evening. (2) Security leaves at 7:00pm, so no attendees will be admitted after the presentation begins.</p> <p>From the presenter:<br/>This talk will serve as a helpful guide for those interested in building their skills in the areas of data analysis, machine learning, and data visualization. I will draw from my own experience to show how the data practitioner’s toolbox is ever-growing and share some great resources to gain practical knowledge of the theory and application of data science techniques.</p> "
I Don't Trust You. You Don't Trust Me. Let's Collaborate! with Erik Scott,2/19/2019,54,"<p>Imagine there are two millionaires. They want to know who has more money, but neither one wants to reveal how much money they have and neither one will trust a third party to make the determination. Is there a solution? Or suppose there are two people, one with secret data and the other with a secret formula. Can the secret formula be evaluated with the secret data, without decrypting the data and without revealing the formula? Finally, is there some way for one person to have a hand of cards and let someone across the network see a card from that hand—without the first person knowing which card was viewed and without the second person knowing what other cards were held? It wouldn't be much of a talk if the answers were ""no"", so what will follow is a brief outline of the solutions (Secure Multiparty Computation, Homomorphic Encryption, and Oblivious Transfer, respectively) and details of RENCI, Duke, and NIEHS's work toward making these methods easy to use. Solutions are broadly applicable in areas such as medical research, auctions, and coercion-resistant encryption.</p> <p>Join the Research Triangle Analysts Meetup on Tuesday, February 19th for this talk with Erik Scott, Senior Research Software Developer at RENCI. This talk is geared toward real-world data practitioners. The math will be kept approachable by a smart high school senior (with plenty of handwaving where needed). One solution is simple enough to compute on a cocktail napkin and will make you the hit of any party.</p> <p>Doors open at 6:30. Talk begins at 7:00.</p> "
March Lunch,3/6/2019,13,"<p>Monthly lunches are back for 2019 and moving to Wednesday. If you're in the RTP, or can get there in the middle of the day, come join us!</p> <p>No agenda, just chat.</p> <p>Curious about the food? Read more here: <a href=""https://www.babaghannoujbuffet.com/buffet-menu/"" class=""linkified"">https://www.babaghannoujbuffet.com/buffet-menu/</a>. Should be plenty of vegetarian and GF options.</p> "
Analytics>Forward 2019,3/9/2019,156,"<p>• What we'll do<br/>Analytics&gt;Forward is happening again! Based on the bar camp-style conferences, the program will be set the day of the conference based on all of the exciting pitches you'll hear first thing in the morning. Bring your 50-minute talk and a stack of business cards for a day of mathy fun with all of your favorite analysts. Your registration buys breakfast, lunch (provided by IBM) and coffee all day!</p> <p>• Keynote<br/>Kaggle in the Real World: Practical Lessons from Winning The Zillow Prize by Jordan Meyer</p> <p>The $1M Zillow Prize competition brought together nearly 4,000 teams from 91 countries to compete against the Zestimate, and one another, to most accurately predict the sale prices of homes across the U.S. Because machine-learning competitions have a reputation for rewarding overly-complex ensembles, Zillow Prize required submissions to be reproducible, with limits on hardware and processing time.</p> <p>In the end, what set our winning team apart was our approach to experimentation, which resulted in a blend of four diverse, yet practical, solutions. This talk will present the three main steps of our process and highlight techniques that can be applied to other real-world data science challenges—where time is often more valuable than a fourth decimal place model improvement.</p> <p>Jordan Meyer is an NC-based data scientist and Zillow Prize winner. His career has focused on data science and engineering with relational data. Jordan works as a Customer-Facing Data Scientist at DataRobot, where he helps organizations build, interpret, and operationalize predictive models. He previously worked as Head of R&amp;D and CTO at Rittman Mead, an analytics consultancy that builds data products for a wide range of organizations, from small public universities to Fortune 500 enterprises.</p> <p>• What to bring<br/>Business cards, a 50-minute talk if you want to pitch a presentation, and your winning personality.</p> <p>• Important to know<br/>Analytics&gt;Forward is a community event. Any attendee who wants to speak can do a 1-minute pitch for a 50-minute talk. Once all the pitches have been heard, all of the attendees vote for their favorites, and the top vote-getters are assigned time slots. Every year, we've had great talks from some amazing speakers. If you've never tried a bar camp-style conference before, Analytics&gt;Forward will win you over!</p> "
April lunch,4/3/2019,13,"<p>No agenda, just chat.</p> <p>Curious about the food? Read more here: <a href=""https://www.chuys.com/"" class=""linkified"">https://www.chuys.com/</a>.</p> <p>Please RSVP so that I can book a table of appropriate size.</p> "
Sports Analytics 101,4/8/2019,25,"<p>Bummed about losing your March Madness bracket? Drown your sorrows by hearing about how analytics is or is not making a difference at the professional level in the United States. This analysis mixes an intro to the R statistical programming language, machine learning, and sports. It uses the past four years of team performances from MLB, NFL, NBA, and NHL to test the hypothesis that analytics is critical to winning championships. If you are interested in sports and want to learn more about R and machine learning then this presentation is for you. Walt DeGrange was recently featured in the INFORMS Podcast Resoundingly Human's special March Sports edition <a href=""https://informs.libsyn.com/resoundingly-human-march-2019"" class=""linkified"">https://informs.libsyn.com/resoundingly-human-march-2019</a> and is the past chairperson for the INFORMS SpORts Analytics Section. He has done analysis work for the St Louis Blues and Atlanta Blaze (Major League Lacrosse). Free food and location provided by Spaces, a beautiful new cowork space in Chapel Hill.</p> "
StatQuest: p-Hacking and Power by Dr. Joshua Starmer,4/16/2019,56,"<p>StatQuest: p-Hacking and Power - a p-value pitfall and how to prevent it!!!</p> <p>From Dr. Starmer: ""In this talk I will walk the audience through a common scenario that researchers face on a daily basis and how it leads down a dark path to p-hacking. I'll then discuss the simple steps that can prevent it.""</p> <p>Join the Research Triangle Analysts Meetup on Tuesday, April 16th for this talk with Dr. Joshua Starmer, Research Assistant Professor of Genetics at UNC-Chapel Hill and statistics explainer at <a href=""https://statquest.org"" class=""linkified"">https://statquest.org</a>.</p> <p>Doors open at 6:30. Talk begins at 7:00.</p> "
May lunch,5/1/2019,19,"<p>No agenda, just chat.</p> <p>May will be at Dharani in Morrisville. South Indian buffet and it was pretty delicious. Read more about the food here: <a href=""https://www.dharanius.com/dharani-morrisville/"" class=""linkified"">https://www.dharanius.com/dharani-morrisville/</a>.</p> <p>Please RSVP so that I can book a table of appropriate size.</p> "
Managing a Data Science Team panel discussion,5/21/2019,67,"<p>Join Melinda Thielbar, Katherine King, Julia Kuznetsova and Melissa Nysewander for an enlightening panel discussion on how to manage a data science team.</p> <p>Most people think a data scientist does all of the feature engineering, modeling, and productionalization her/himself, but large projects involve a lot of steps, and no one can do all of them alone. More and more, data science projects are about team work. We'll talk about organizing a data science team, including breaking the project down into manageable chunks, hiring the right people for each role, and ensuring a quality model gets shipped in a timely manner. We will also discuss ways to organize access to data, tools to store data dictionaries and share code, as well as best practices around model deployment and integration testing. Along the way, we'll talk about upskilling team members and communicating with stakeholders.</p> <p>We're at a new location this month, Durty Bull Brewing, sponsored by Work Unbound (<a href=""https://workunbound.com/"" class=""linkified"">https://workunbound.com/</a>).</p> <p>Doors open at 6:30. Talk begins at 7:00.</p> "
June lunch,6/5/2019,21,"<p>No agenda, just chat.</p> <p>June will be at Tijuana Flats in Cary. Casual Tex-Mex. Read more about the food here: <a href=""https://tijuanaflats.com/menu/"" class=""linkified"">https://tijuanaflats.com/menu/</a>.</p> <p>Odds are good that I'll have either a red and white O'Reilly book or a yellow and blue Springer book with me that I'll visibly place on the table.</p> "
Happy Shiny People,6/18/2019,33,"<p>Join Brian Fannin for an introduction to Shiny.</p> <p>Brian will talk about what Shiny is and how to create a simple Shiny app. He will walk through the ins and outs of reactivity and project structure for non-trivial applications. He'll also share some thoughts about saving/reading data from multiple concurrent users and talk a bit about application deployment options.</p> <p>We're returning to Durty Bull Brewing again this month, again sponsored by Work Unbound (<a href=""https://workunbound.com/"" class=""linkified"">https://workunbound.com/</a>). So come, have a beer, relax and hope the NC weather cooperates with us!</p> <p>Doors open at 6:30. Talk begins at 7:00.</p> "
July lunch,7/3/2019,9,"<p>No agenda, just chat.</p> <p>July lunch will be at the food court of the Southpoint Mall. Lots of options. Read more about the food here: <a href=""https://www.streetsatsouthpoint.com/en/directory/food/quick_service_restaurants/"" class=""linkified"">https://www.streetsatsouthpoint.com/en/directory/food/quick_service_restaurants/</a>.</p> <p>Yes, I know that next Thursday is a holiday and folks may be traveling. If no one shows up, we can have a bonus lunch on the 10th.</p> <p>Odds are good that I'll have either a red and white O'Reilly book or a yellow and blue Springer book with me that I'll visibly place on the table.</p> "
"Unsupervised Variable Selection:  If You Don’t Know, I’m Not Going to Tell You",7/16/2019,32,"<p>Unsupervised Variable Selection: If You Don’t Know, I’m Certainly Not Going to Tell You</p> <p>From Dan Kelly: ""Typically, feature selection is considered a supervised task: you want the inputs that predict the behavior or amount of interest. If you have multiple targets of interest, or if you have wide data, or if you have tall data, or if you have to explain your models to human beings at some point, it may be worthwhile to prescreen candidate inputs with an unsupervised approach. This talk will address some typical approaches and their respective benefits and shortcomings. It does not currently feature any dirty limericks, but if I can come up with a good rhyme for “eigenvalue” by Tuesday, I’ll see what I can do.""</p> <p>Please join us on Tuesday, July 16th for this talk on how to get the most out of your data.</p> <p>Doors open at 6:30. Talk begins at 7:00.</p> "
August lunch,8/7/2019,8,"<p>No agenda, just chat.</p> <p>August lunch will be at Burger Fi, right across the street from SAS.</p> <p>Odds are good that I'll have either a red and white O'Reilly book or a yellow and blue Springer book with me that I'll visibly place on the table.</p> "
Managing Many Models Using “Tidy” Methods in R ,8/20/2019,46,"<p>Doors at 6:30<br/>Talk starts at 7:00</p> <p>Please be on time. Please bring a photo id. Security will lock the doors at 7:00, and you will not be able to enter the building.</p> <p>When building models, you likely create many objects in your environment (e.g. training &amp; test data sets, model objects, performance metrics, visualizations, etc…). This talk will be focused on using “tidy” methods (specifically nested lists as columns in dataframes) to organize these artifacts in the R ecosystem -- with special emphasis on applications in managing lots of forecasts.</p> "
Bias in AI with Dr Zeydy Ortiz,9/17/2019,49,"<p>Doors at 6:30<br/>Talk starts at 7:00</p> <p>Please be on time. Please bring a photo id. Security will lock the doors at 7:00, and you will not be able to enter the building.</p> "
October Lunch,10/2/2019,7,"<p>No agenda, just chat.</p> <p>For October, we're back to Baba Ghannouj. Curious about the food? Read more here: <a href=""https://www.babaghannoujbuffet.com/buffet-menu/"" class=""linkified"">https://www.babaghannoujbuffet.com/buffet-menu/</a>.</p> "
Principles of Data Visualization with Kieran Healy,10/15/2019,71,"<p>Some data visualizations are better than others. In this talk, Kieran Healy explains why. Kieran Healy is Professor of Sociology at Duke University and the author of ""Data Visualization: A Practical Introduction"", a highly acclaimed guide to data visualization using R and ggplot2. His research focuses on the social basis of self-interest and altruism, the organization of exchange in human goods (like blood, organs, eggs and genetic material), and the role of volunteering in the open source software movement.</p> <p>Website: <a href=""https://kieranhealy.org"" class=""linkified"">https://kieranhealy.org</a><br/>Twitter: <a href=""https://twitter.com/kjhealy"" class=""linkified"">https://twitter.com/kjhealy</a><br/>Book: <a href=""http://amzn.to/2vfAixM"" class=""linkified"">http://amzn.to/2vfAixM</a></p> <p>Join us for this talk on Tuesday, October 15.</p> <p>Doors open at 6:30. Talk begins at 7:00.</p> "
November Lunch,11/6/2019,7,"<p>No agenda, just chat.</p> <p>For November, we'll be at Mez. This is a fancy sit-down place, so be sure to RSVP so that I can book a table of appropriate size. Also, please do what you can to arrive on time.</p> <p>Curious about the food? Read more here: <a href=""https://www.mezdurham.com/lunch-menu"" class=""linkified"">https://www.mezdurham.com/lunch-menu</a>.</p> "
Let’s Have a Party!,11/19/2019,27,"<p>It’s been another great year for RTA! Let’s get together and celebrate.</p> <p>RTA is buying the appetizers. You buy your drinks. Can’t wait to see you!</p> <p>Come and go as you please, this is purely a social event, so stop by and meet some of your fellow RTA members.</p> "
Amazon Reviews and Statistical Text Analytics by Dr. Douglas Kline,1/21/2020,66,"<p>Determining a Short List of Amazon Reviews using Statistical Text Analytics and Optimization</p> <p>Abstract:<br/>Customers want to make informed purchasing decisions without a lot of effort. Online reviews can be helpful, but which reviews are worth reading? What we could say ""Read these 3 reviews, they essentially contain the same information as all 4000 reviews.""? I'll present a method for selecting subsets of reviews that are similar to the set of all reviews, using document-term frequency analysis and integer programming optimization. The technique is demonstrated on three products with 2000+ reviews from Amazon: a book, an article of clothing, and an electronic device. I'll present the basics of statistical text analysis, and some of the pros and cons of typical pre-processing methods such as stop-word removal and stemming when applied across corpus. The project is not completed or published yet, but preliminary analysis shows how language differs across the product reviews, how pre-processing must be done carefully, and the dimensionality challenge of evaluating subsets from a large set.</p> <p>Bio:<br/>Douglas Kline is a Professor of Information Systems at UNC Wilmington. He consults in the area of SQL Server internals and performance tuning, and also writes and authors videos as Database by Doug.</p> <p>Join us for this talk on Tuesday, January 21.</p> <p>Doors open at 6:30. Talk begins at 7:00.</p> "
February lunch,2/5/2020,11,"<p>No agenda, just chat.</p> <p>Welcome to 2020! February lunch will be at the food court of the Southpoint Mall. Lots of options. Read more about the food here: <a href=""https://www.streetsatsouthpoint.com/en/directory/food/quick_service_restaurants/"" class=""linkified"">https://www.streetsatsouthpoint.com/en/directory/food/quick_service_restaurants/</a>.</p> <p>Odds are good that I'll have either a red and white O'Reilly book or a yellow and blue Springer book with me that I'll visibly place on the table.</p> "
Developments in Natural Language Understanding (NLU/NLP) with Dhruv Sakalley,2/18/2020,90,"<p>There have been a lot of advancements in Natural Language Understanding in the last few years. Deep Learning experience Dhruv Sakalley will walk us through some of the latest techniques.</p> <p>From the speaker:<br/>""Language is the scaffold of our minds. We build our thoughts through language and it conditions how we experience and interact with the world."" - Yueng<br/>The goal of Natural Language Processing (NLP) as a discipline is to equip machines with the same comprehension capability of natural language as humans do. Since the year 2014, the field has garnered significant progress, owing to recent developments in deep learning, transfer learning and self-supervised learning with representation models.<br/>I'd like to present an overview of the historical milestones and demonstrate some of the advanced capabilities available out of the box for someone who wants to benefit from the progress thus far. We'll spend some time talking about Attention mechanisms, Transformer Architecture and some Sesame Street characters such as Elmo, BERT, Ernie et al.<br/>While an understanding of deep learning and transfer learning would help, it's not mandatory to benefit from the talk.</p> "
March lunch,3/4/2020,7,"<p>Only one thing on the agenda: Let's chat about Analytics Forward!!!</p> <p>March lunch will be at Tijuana Flats in Cary. Casual Tex-Mex. Read more about the food here: <a href=""https://tijuanaflats.com/menu/"" class=""linkified"">https://tijuanaflats.com/menu/</a>.</p> <p>Odds are good that I'll have either a red and white O'Reilly book or a yellow and blue Springer book with me that I'll visibly place on the table.</p> "
Tensorflow Probability with Dr. Melinda Thielbar,4/21/2020,83,"<p>Tensorflow Probability: What it is, and Why you'll love it! with Dr. Melinda Thielbar</p> <p>Zoom meeting opens at 6:30, talk begins at 7:00.</p> <p>Password is rta</p> <p>- Please stay on mute during the talk.<br/>- Use chat to ask questions. We will ask the speaker questions at the end.</p> <p>Tensorflow probability is a new package from Google that enables probabilistic programming. In its simplest form, it allows you to specify the distribution of the target variable and estimate its parameters in just a few lines of code. Instead of shoe-horning a known function of X and Y into one of several pre-programmed and varyingly inappropriate functional forms, Tensorflow Probability is flexible enough to accommodate the most appropriate model for the problem at hand and powerful enough to estimate the parameters to the best of your data’s ability.</p> <p>- Is your outcome a count? Maybe something like the number of new cases of a novel disease that appear every day? Use a Poisson as the statistics gods intended.<br/>- Are you trying to estimate far too many effects? Use a Bayesian model and let your priors handle the messy middle.<br/>- Do you have too much data for your laptop’s tiny memory? Too much processing for any one CPU to finish in a year? Tensorflow Probability is GPU-enabled. Give your little CPU a rest and actually see the results of your labors while you’re still interested enough to enjoy them.</p> <p>This presentation will cover several examples that illustrate the possibilities (and the probabilities) of Tensorflow’s newest and nerdiest family member.</p> "
Developing a Solution with SQL Server Machine Learning Services,5/19/2020,39,"<p>This month we're hosting a joint meeting with TriPASS, the Triangle SQL Server User Group. The meeting will be on their twitch page and starts at 6:30pm rather than our usual start time of 7:00pm.</p> <p>If you want to launch a Python or R project with data which lives in SQL Server, SQL Server Machine Learning Services may be right for you. In this talk, we will take a look at SQL Server Machine Learning Services, starting with an overview and installation, but quickly moving into custom development. We will deploy packages with sqlmlutils and investigate some of the nicest features of Machine Learning Services, including native scoring and parallel processing. We will also see how to develop and deploy custom code and tie everything back to .NET applications using stored procedures.</p> <p>Kevin Feasel is a Microsoft Data Platform MVP and CTO at Envizage, where he specializes in data analytics with T-SQL and R, forcing Spark clusters to do his bidding, fighting with Kafka, and pulling rabbits out of hats on demand. He is the lead contributor to Curated SQL (<a href=""https://curatedsql.com"" class=""linkified"">https://curatedsql.com</a>), president of the Triangle Area SQL Server Users Group (<a href=""https://www.meetup.com/tripass"" class=""linkified"">https://www.meetup.com/tripass</a>), and author of PolyBase Revealed (<a href=""https://www.apress.com/us/book/9781484254608"" class=""linkified"">https://www.apress.com/us/book/9781484254608</a>). A resident of Durham, North Carolina, he can be found cycling the trails along the triangle whenever the weather's nice enough.</p> "
Becoming an R Package Contributing Author by Rick Pack,7/21/2020,22,"<p>Talk begins at 6:30pm.</p> <p>Rick Pack postponed an RTA / TriPASS talk twice in June, 2020 as R code challenges exploded and well, life. In this talk, he will explore the meetupr R package by R-Ladies that downloads data through the Meetup API and discuss debugging work that led to him being identified as a meetupr contributing package author.</p> <p>Rick Pack is a Data Scientist in Raleigh / Durham, NC who uses R, SAS, SQL, and Alteryx to perform a variety of business and population health analyses at LabCorp, including those supporting accountable care organizations (ACOs) and healthcare providers. He has a Master’s of Applied Statistics from Penn State University and over 10 years of data science experience. He is on the board of local data science organizations Research Triangle Analysts and TriPASS. He blogs at <a href=""http://rickpackblog.wordpress.com"" class=""linkified"">http://rickpackblog.wordpress.com</a>.</p> "
Understanding Smoothers through Interactive Examples by Xan Gregg,8/18/2020,62,"<p>Talk begins at 6:00pm.</p> <p>Abstract:<br/>Smoothers provide a powerful way to cut through the noise and focus on trends in data. However, each smoothing technique brings underlying assumptions and can produce poor results when the assumptions are strained. I'll review the utility of smoothers from a data visualization perspective and explore their parameters and their weaknesses. Regression, moving average, spline and loess are covered.</p> <p>Bio:<br/>Xan Gregg is the R&amp;D Director of Data Discovery for JMP at SAS Institute and develops the Graph Builder component of JMP. Find him online at <a href=""https://packedbars.com/"" class=""linkified"">https://packedbars.com/</a> and on Twitter at @xangregg.</p> "
Analytics>Forward 2020 - POSTPONED - DATE TBD,9/5/2020,97,"<p>June 6 is not the actual date of A&gt;F 2020! The actual date is yet to be determined.</p> <p>Analytics&gt;Forward has been POSTPONED:<br/>Due to growing uncertainties about COVID-19, we have decided to postpone Analytics&gt;Forward to an as-yet unidentified date. We will temporarily shift out the event on Meetup.com to a future date but please understand that date will likely change. Current registrations will automatically transfer.<br/>While you can get a refund if you have already registered, we ask you to consider not cancelling your registration and requesting a refund at least until we select a date for the event.<br/>Rather than emailing concerns and questions, please post them as a comment under the event in the spirit of community engagement both with this event and current public health concerns.</p> <p>• What we'll do<br/>Analytics&gt;Forward is happening again! Based on the bar camp-style conferences, the program will be set the day of the conference based on all of the exciting pitches you'll hear first thing in the morning. Bring your 50-minute talk and a stack of business cards for a day of mathy fun with all of your favorite analysts. Your registration buys breakfast, lunch and coffee all day!</p> <p>• Keynote<br/>Being 'Right' Isn't Always Good Enough: Other Requirements for Adding Value through Climate Data Science by Dr. Robert Erhardt</p> <p>What does big data look like in climate science? What is a climate model projection, what can it tell us, and what can it not tell us about the 21st century? In this talk, we will explore basic principles of climate science, look at a few recent results on climate change from the Intergovernmental Panel on Climate Change, and talk about how climate data products are impacting industry (and the insurance industry in particular).</p> <p>Despite the wealth of scientific expertise (thousands of scientists, millions of research dollars, petabytes of data, petaflops of computing power), the ability of these climate data products to influence stakeholders and society at large is not at all assured. We will turn our attention to a few of the reasons for this. These include so-called type 3 errors (the right statistical answer to the wrong question), challenges with communicating big data analytics to stakeholders who may be less well-versed in the subject matter, and challenges with capturing and communicating uncertainty in projections.</p> <p>The speaker will draw on experiences in both academia and the insurance industry over the past 15 years. No particular scientific knowledge will be assumed.</p> <p>• What to bring<br/>Business cards, a 50-minute talk if you want to pitch a presentation, and your winning personality.</p> <p>• Important to know<br/>Analytics&gt;Forward is a community event. Any attendee who wants to speak can do a 1-minute pitch for a 50-minute talk. Once all the pitches have been heard, all of the attendees vote for their favorites, and the top vote-getters are assigned time slots. Every year, we've had great talks from some amazing speakers. If you've never tried a bar camp-style conference before, Analytics&gt;Forward will win you over!</p> <p>• Student discount<br/>If you are a full-time college student and would like to attend, we are offering $5 off registration. Either contact info@rtpanalysts.org directly to register at the reduced price or register here at full price and contact us via email, or talk to us the day of the event, for your refund.</p> <p>• Coronavirus policy<br/>TBA</p> "
Creating Instant Relevance by Thomas Helfrich,9/15/2020,28,"<p>Talk begins at 6:00pm.</p> <p>Abstract:<br/>Today's topic will look at how organizations, small business, even individuals can be instantly relevant. Thomas will present an industry problem and challenges when It comes to discovering instant relevance. The discussion for the group will be centered around the technical feasibility of solving instant relevance.</p> <p>Bio:<br/>Thomas Helfrich lives in Atlanta, GA. He has 20+ years of business technology advisory and entrepreneur experience with an expertise is in intelligent automation. His personal blog, <a href=""https://ainerd.com"" class=""linkified"">https://ainerd.com</a>, covers several technology topics. Uniquely, <a href=""https://ainerd.com"" class=""linkified"">https://ainerd.com</a> is also a proof of concept - where nearly all the content is AI generated.</p> <p>You can also find AINerd on social media:<br/><a href=""https://twitter.com/AINerdOfficial"" class=""linkified"">https://twitter.com/AINerdOfficial</a><br/><a href=""https://www.facebook.com/AiNerdOfficial/"" class=""linkified"">https://www.facebook.com/AiNerdOfficial/</a><br/><a href=""https://www.instagram.com/ainerdofficial/"" class=""linkified"">https://www.instagram.com/ainerdofficial/</a><br/><a href=""https://www.linkedin.com/company/ainerd"" class=""linkified"">https://www.linkedin.com/company/ainerd</a><br/><a href=""https://www.pinterest.com/AiNerdOfficial"" class=""linkified"">https://www.pinterest.com/AiNerdOfficial</a></p> "
COVID-19 Analysts of Diverse Fields: Informal Panel,10/20/2020,75,"<p>A financial analyst, actuary, healthcare administrator, and social epidemiologist walk into a year like no other...</p> <p>In this informal 1-hour panel, analysts of diverse fields who professionally analyzed COVID-19 data will discuss their experiences engaging one of the most attention-grabbing, universally concerning and complicated data challenges ever. Each aimed to discern something useful in the data without generating even more confusion. What does each remember about how their approach to the data changed and how did the thousands, including citizen data scientists, analyzing the data with varying levels of experience affect their work?</p> <p>PANELISTS<br/>* Dr. Whitney R. Robinson, social epidemiologist, UNC Chapel Hill,<br/>@WhitneyEpi on Twitter<br/>* Brian Fannin, actuary, Casualty Actuarial Society, @FanninQED on Twitter<br/>* Mehul Gangavelli, principal data scientist, Fidelity Investments, @MehulGang on Twitter<br/>* Suzette Creighton, Healthcare Administrator &amp; Consultant<br/>Healthcare Quality, Risk/Safety, &amp; Accreditation, @SuCreighton on LinkedIn<br/>* Chris Garcia, MD, value-based care medical director, LabCorp, @ChrisGarciaMD on LinkedIn</p> <p>NOTE: Panelists represent only themselves - their thoughts and views do not reflect that of their employer or any other entity.<br/>This presentation will not be recorded to aid the spirit of informality.<br/>Questions will be provided to panelists in advance.</p> "
